,CUST OCCU,SALARY,BPKB NAME,Harga Motor,SPOUSE SALARY,BIRTH DATE,ANGSURAN,GROUP OVERDUE DAYS
155,PEDAGANG,4000000.0,SAME,8500000,1000000.0,42,635000,a) LANCAR
156,PEDAGANG,5000000.0,DIFFERENT,16000000,2000000.0,31,613000,a) LANCAR
157,PEGAWAI SWASTA,3000000.0,SAME,16000000,,42,475000,a) LANCAR
158,JASA,4000000.0,DIFFERENT,11100000,900000.0,32,629000,a) LANCAR
159,PETANI,2500000.0,SAME,10600000,900000.0,38,520000,a) LANCAR
160,PEDAGANG,4000000.0,DIFFERENT,11200000,1500000.0,37,629000,a) LANCAR
161,PEDAGANG,4500000.0,DIFFERENT,12100000,1500000.0,30,564000,a) LANCAR
162,Wiraswasta,3000000.0,SAME,10000000,1500000.0,46,569000,a) LANCAR
163,LAIN-LAIN,4000000.0,DIFFERENT,14000000,2000000.0,44,729000,a) LANCAR
164,LAIN-LAIN,4500000.0,DIFFERENT,4700000,1750000.0,33,308000,a) LANCAR
165,PEDAGANG,4500000.0,SAME,11000000,1000000.0,51,579000,a) LANCAR
166,IBU RUMAH TANGGA,4000000.0,DIFFERENT,12000000,1250000.0,53,466000,a) LANCAR
167,PEGAWAI SWASTA,5000000.0,DIFFERENT,13500000,,26,507000,a) LANCAR
168,LAIN-LAIN,3500000.0,SAME,7000000,1000000.0,42,353000,a) LANCAR
169,BURUH/PRT,2000000.0,DIFFERENT,4600000,500000.0,56,301000,a) LANCAR
170,PEGAWAI SWASTA,3500000.0,DIFFERENT,11500000,1750000.0,30,525000,a) LANCAR
171,PEDAGANG,3000000.0,DIFFERENT,12900000,,26,629000,a) LANCAR
172,JASA,4000000.0,DIFFERENT,12000000,900000.0,33,502000,a) LANCAR
173,PEGAWAI SWASTA,3500000.0,DIFFERENT,8500000,900000.0,49,395000,a) LANCAR
174,LAIN-LAIN,2400000.0,DIFFERENT,8400000,1750000.0,43,344000,a) LANCAR
175,LAIN-LAIN,4000000.0,DIFFERENT,17500000,100000.0,29,645000,a) LANCAR
176,SENIMAN,3500000.0,DIFFERENT,11500000,1500000.0,39,475000,a) LANCAR
177,PEDAGANG,4000000.0,DIFFERENT,17200000,900000.0,55,411000,a) LANCAR
178,PEGAWAI NEGERI/BUMN,4000000.0,DIFFERENT,10000000,2000000.0,42,560000,a) LANCAR
179,PEGAWAI SWASTA,3800000.0,DIFFERENT,6700000,1200000.0,28,316000,a) LANCAR
180,PETANI,4000000.0,DIFFERENT,13000000,1000000.0,58,395000,a) LANCAR
181,PEGAWAI NEGERI/BUMN,5500000.0,SAME,19000000,2500000.0,43,1047000,a) LANCAR
182,PEGAWAI SWASTA,3500000.0,SAME,12000000,,24,719000,a) LANCAR
183,PETANI,2500000.0,DIFFERENT,5000000,750000.0,53,335000,a) LANCAR
184,PEDAGANG,4500000.0,DIFFERENT,10000000,1750000.0,40,574000,c) 1-30
185,LAIN-LAIN,2500000.0,DIFFERENT,10000000,1750000.0,49,560000,c) 1-30
186,PEGAWAI SWASTA,2800000.0,DIFFERENT,6500000,1200000.0,32,406000,a) LANCAR
187,PEDAGANG,3500000.0,DIFFERENT,12000000,900000.0,32,542000,c) 1-30
188,PEGAWAI NEGERI/BUMN,4000000.0,DIFFERENT,4600000,1400000.0,41,375000,a) LANCAR
189,PEDAGANG,4500000.0,SAME,15400000,,31,1110000,a) LANCAR
190,PEGAWAI SWASTA,3800000.0,SAME,12500000,1200000.0,39,748000,a) LANCAR
191,PEGAWAI SWASTA,2800000.0,DIFFERENT,4500000,,42,533000,a) LANCAR
192,JASA,4000000.0,DIFFERENT,7400000,1000000.0,37,553000,a) LANCAR
193,PENEGAK HUKUM,5000000.0,SAME,4300000,1000000.0,54,520000,a) LANCAR
194,PEDAGANG,3500000.0,DIFFERENT,12000000,,38,769000,a) LANCAR
195,BURUH/PRT,3000000.0,DIFFERENT,11500000,1200000.0,43,475000,a) LANCAR
196,PEGAWAI SWASTA,5000000.0,DIFFERENT,12000000,,26,525000,a) LANCAR
197,PEDAGANG,5000000.0,SAME,12000000,1200000.0,52,395000,a) LANCAR
198,PEDAGANG,3500000.0,DIFFERENT,6300000,1000000.0,42,395000,d) 31-60
199,PEDAGANG,3000000.0,DIFFERENT,12500000,1750000.0,44,401000,a) LANCAR
200,PEDAGANG,3500000.0,DIFFERENT,8500000,,22,401000,a) LANCAR
201,PEDAGANG,4000000.0,DIFFERENT,13000000,1000000.0,28,523000,c) 1-30
202,PEDAGANG,4500000.0,DIFFERENT,5500000,3000000.0,29,343000,a) LANCAR
203,GURU/PENDIDIKAN,5000000.0,SAME,14000000,,53,628000,a) LANCAR
204,JASA,3000000.0,DIFFERENT,14000000,1500000.0,31,596000,d) 31-60
205,PEGAWAI SWASTA,3500000.0,DIFFERENT,9300000,1500000.0,23,393000,c) 1-30
206,PETANI,3500000.0,DIFFERENT,11500000,,48,475000,a) LANCAR
207,PEDAGANG,3000000.0,DIFFERENT,8000000,,33,353000,a) LANCAR
208,IBU RUMAH TANGGA,2800000.0,DIFFERENT,13000000,1200000.0,49,629000,a) LANCAR
209,PEDAGANG,3500000.0,DIFFERENT,13000000,1750000.0,41,509000,a) LANCAR
210,PEDAGANG,4500000.0,DIFFERENT,17000000,1750000.0,43,645000,c) 1-30
211,Pelajar/Mahasiswa,4500000.0,SAME,15400000,,44,645000,c) 1-30
212,PRODUKSI,3500000.0,DIFFERENT,13500000,900000.0,49,564000,a) LANCAR
213,PRODUKSI,5000000.0,SAME,15200000,1000000.0,59,835000,a) LANCAR
214,BURUH/PRT,3800000.0,DIFFERENT,12000000,1200000.0,37,666000,c) 1-30
215,PEDAGANG,3500000.0,DIFFERENT,9000000,1200000.0,38,384000,c) 1-30
216,PETERNAK,2700000.0,DIFFERENT,5300000,1200000.0,42,341000,a) LANCAR
217,PENDIDIKAN NON FORMAL,3000000.0,DIFFERENT,10400000,1000000.0,52,442000,a) LANCAR
218,PEDAGANG,4500000.0,SAME,9300000,1500000.0,48,344000,a) LANCAR
219,PEDAGANG,3000000.0,DIFFERENT,7500000,,36,753000,a) LANCAR
220,PRODUKSI,2500000.0,SAME,16100000,1500000.0,34,645000,a) LANCAR
221,GURU/PENDIDIKAN,4800000.0,SAME,4500000,3100000.0,34,301000,f) >90
222,PEGAWAI SWASTA,3000000.0,DIFFERENT,12500000,3700000.0,46,676000,c) 1-30
223,PEDAGANG,2500000.0,DIFFERENT,12500000,2500000.0,28,475000,a) LANCAR
224,PETANI,16000000.0,DIFFERENT,5300000,,30,341000,a) LANCAR
225,PRODUKSI,4000000.0,SAME,15000000,,23,605000,a) LANCAR
226,PEGAWAI SWASTA,3500000.0,DIFFERENT,26000000,1000000.0,21,533000,a) LANCAR
227,PEDAGANG,2700000.0,DIFFERENT,12500000,1400000.0,39,788000,a) LANCAR
